State,Division,Date,Value
South_Dakota,West_North_Central,2022-08,1023.0
Delaware,South_Atlantic,2022-08,595.0
District_of_Columbia,South_Atlantic,2022-08,1555.0
Florida,South_Atlantic,2022-08,16834.0
Georgia,South_Atlantic,2022-08,7694.0
Maryland,South_Atlantic,2022-08,1125.0
North_Carolina,South_Atlantic,2022-08,8119.0
South_Carolina,South_Atlantic,2022-08,3797.0
Virginia,South_Atlantic,2022-08,3245.0
West_Virginia,South_Atlantic,2022-08,324.0
Alabama,East_South_Central,2022-08,2542.0
Kentucky,East_South_Central,2022-08,1407.0
Mississippi,East_South_Central,2022-08,670.0
Tennessee,East_South_Central,2022-08,2800.0
Arkansas,West_South_Central,2022-08,1412.0
Louisiana,West_South_Central,2022-08,1439.0
Oklahoma,West_South_Central,2022-08,1161.0
Texas,West_South_Central,2022-08,20950.0
Arizona,Mountain,2022-08,4603.0
Colorado,Mountain,2022-08,3927.0
Idaho,Mountain,2022-08,1589.0
Montana,Mountain,2022-08,483.0
Nevada,Mountain,2022-08,1267.0
New_Mexico,Mountain,2022-08,616.0
Utah,Mountain,2022-08,2175.0
Wyoming,Mountain,2022-08,399.0
Alaska,Pacific,2022-08,134.0
California,Pacific,2022-08,11045.0
Hawaii,Pacific,2022-08,228.0
Oregon,Pacific,2022-08,1446.0
Washington,Pacific,2022-08,4079.0
Connecticut,New_England,2022-07,743.0
Maine,New_England,2022-07,551.0
Massachusetts,New_England,2022-07,1650.0
New_Hampshire,New_England,2022-07,378.0
Rhode_Island,New_England,2022-07,92.0
Vermont,New_England,2022-07,261.0
New_Jersey,Middle_Atlantic,2022-07,3537.0
New_York,Middle_Atlantic,2022-07,3702.0
Pennsylvania,Middle_Atlantic,2022-07,2104.0
Illinois,East_North_Central,2022-07,1418.0
Indiana,East_North_Central,2022-07,2108.0
Michigan,East_North_Central,2022-07,1629.0
Ohio,East_North_Central,2022-07,2515.0
Wisconsin,East_North_Central,2022-07,1811.0
Iowa,West_North_Central,2022-07,842.0
Kansas,West_North_Central,2022-07,840.0
Minnesota,West_North_Central,2022-07,2495.0
Missouri,West_North_Central,2022-07,1625.0
Nebraska,West_North_Central,2022-07,778.0
North_Dakota,West_North_Central,2022-07,430.0
South_Dakota,West_North_Central,2022-07,1347.0
Delaware,South_Atlantic,2022-07,435.0
District_of_Columbia,South_Atlantic,2022-07,254.0
Florida,South_Atlantic,2022-07,15502.0
Georgia,South_Atlantic,2022-07,6229.0
Maryland,South_Atlantic,2022-07,1981.0
North_Carolina,South_Atlantic,2022-07,6605.0
